company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,total_funding,product_url,indeed_url,growth_percentage
Theta Lake,thetalake.com,Santa Barbara,CA,United States,99,http://www.linkedin.com/company/thetalake,2017,AI,4,14560000,1,,,,,,$17.7M,17700000,https://www.growjo.com/company/Theta_Lake,https://www.indeed.com/jobs?q=company%3A(Theta Lake),0.68
Comet.ml,comet.ml,New York,NY,United States,102,http://www.linkedin.com/company/comet-ml,2017,AI,107,14980000,1,saas,,,,,$69.8M,69800000,https://www.growjo.com/company/Comet.ml,https://www.indeed.com/jobs?q=company%3A(Comet.ml),0.65
Altana Trade,altana.ai,New York,NY,United States,132,http://www.linkedin.com/company/altana-trade,,AI,120,19460000,1,,,,,,$44.7M,44700000,https://www.growjo.com/company/Altana_Trade,https://www.indeed.com/jobs?q=company%3A(Altana Trade),0.81
ALICE Technologies,alicetechnologies.com,Menlo Park,CA,United States,86,http://www.linkedin.com/company/alice-technologies-inc,2013,AI,91,12600000,1,saas,,,,,$18.5M,18500000,https://www.growjo.com/company/ALICE_Technologies,https://www.indeed.com/jobs?q=company%3A(ALICE Technologies),0.48
Hayden AI,hayden.ai,Oakland,CA,United States,80,http://www.linkedin.com/company/haydenaitech,2019,AI,17,12040000,1,,,,,,,,https://www.growjo.com/company/Hayden_AI,https://www.indeed.com/jobs?q=company%3A(Hayden AI),0.48
AmplifAI Solutions,amplifai.com,Plano,TX,USA,88,http://www.linkedin.com/company/amplifai-inc,2014,AI,201,12880000,1,,,,,,$22.4M,22400000,https://www.growjo.com/company/AmplifAI_Solutions,https://www.indeed.com/jobs?q=company%3A(AmplifAI Solutions),0.4
Ushur,ushur.com,Santa Clara,CA,United States,236,http://www.linkedin.com/company/ushur-me,2014,AI,175,37324000,17,saas,,,,,$42M,42000000,https://www.growjo.com/company/Ushur,https://www.indeed.com/jobs?q=company%3A(Ushur),0.27
Kore.ai,kore.ai,Orlando,FL,United States,718,http://www.linkedin.com/company/kore-inc,2013,AI,15,150950800,5,saas,,,,,$73.5M,73500000,https://www.growjo.com/company/Kore.ai,https://www.indeed.com/jobs?q=company%3A(Kore.ai),0.39
DroneDeploy,dronedeploy.com,San Francisco,CA,United States,265,http://www.linkedin.com/company/dronedeploy,2013,AI,189,41839000,1,"Marketplace,,Analytics,Drones,Human Resources Hr,Internet of Things,Mobile, saas",Invenergy Future Fund,,B2B,,$142.6M,142600000,https://www.growjo.com/company/DroneDeploy,https://www.indeed.com/jobs?q=company%3A(DroneDeploy),0.23
Voiceflow,voiceflow.com,San Francisco,CA,United States,63,http://www.linkedin.com/company/voiceflowhq,2018,AI,190,8442000,1,,,,,,,,https://www.growjo.com/company/Voiceflow,https://www.indeed.com/jobs?q=company%3A(Voiceflow),0.21
Rebellion Defense,rebelliondefense.com,Washington,DC,United States,256,http://www.linkedin.com/company/rebellion-defense,,AI,22,40484500,1,,,,,1150000000,$150M,150000000,https://www.growjo.com/company/Rebellion_Defense,https://www.indeed.com/jobs?q=company%3A(Rebellion Defense),1.35
eightfold.ai,eightfold.ai,Santa Clara,CA,United States,611,http://www.linkedin.com/company/eightfoldai,2016,AI,107,114147600,9,saas,"Foundation Capital, Institutional Venture Partners, General Catalyst",,,2100000000,$396.8M,396800000,https://www.growjo.com/company/eightfold.ai,https://www.indeed.com/jobs?q=company%3A(eightfold.ai),0.09
Aisera,aisera.com,Palo Alto,CA,United States,255,http://www.linkedin.com/company/aisera,2017,AI,112,40334000,1,Artificial Intelligence,,,,,$74.5M,74500000,https://www.growjo.com/company/Aisera,https://www.indeed.com/jobs?q=company%3A(Aisera),0.42
copy.ai,copy.ai,Memphis,TN,USA,86,http://www.linkedin.com/company/copyai,2020,AI,258,16362000,1,,,,,,,,https://www.growjo.com/company/copy.ai,https://www.indeed.com/jobs?q=company%3A(copy.ai),1.1
Golden,golden.com,San Francisco,CA,United States,65,http://www.linkedin.com/company/golden-recursion-inc,2017,AI,211,8282400,1,saas,,,,,$19.5M,19500000,https://www.growjo.com/company/Golden,https://www.indeed.com/jobs?q=company%3A(Golden),0.86
Level AI,thelevel.ai,Mountain View,CA,United States,119,http://www.linkedin.com/company/level-ai,,AI,119,17500000,1,,,,,,$15M,15000000,https://www.growjo.com/company/Level_AI,https://www.indeed.com/jobs?q=company%3A(Level AI),0.86
Iodine Software,iodinesoftware.com,Austin,TX,United States,175,http://www.linkedin.com/company/iodine-software,2010,AI,25,27692000,1,,"Advent International, Bain Capital Ventures, Silversmith Capital Partners",,,1000000000,$2.5M,2500000,https://www.growjo.com/company/Iodine_Software,https://www.indeed.com/jobs?q=company%3A(Iodine Software),1.08
Urgently,geturgently.com,Vienna,VA,United States,366,http://www.linkedin.com/company/urgently,,AI,30,68275200,1,,,,,,$0.03B,30000000,https://www.growjo.com/company/Urgently,https://www.indeed.com/jobs?q=company%3A(Urgently),0.27
AiDash,aidash.com,San Jose,CA,United States,303,http://www.linkedin.com/company/aidash,2019,AI,231,56540400,1,saas,,,,,$33M,33000000,https://www.growjo.com/company/AiDash,https://www.indeed.com/jobs?q=company%3A(AiDash),0.38
Bear Robotics,bearrobotics.ai,Redwood City,CA,United States,205,http://www.linkedin.com/company/bear-robotics-inc,2017,AI,135,32357500,1,,,,,,$34.8M,34800000,https://www.growjo.com/company/Bear_Robotics,https://www.indeed.com/jobs?q=company%3A(Bear Robotics),0.15
Pachama,pachama.com,San Francisco,CA,United States,102,http://www.linkedin.com/company/pachama,2018,AI,235,14980000,1,"Machine Learning, Marketplaces, Environmental Innovation",,,,,$24.3M,24300000,https://www.growjo.com/company/Pachama,https://www.indeed.com/jobs?q=company%3A(Pachama),0.7
mabl,mabl.com,Boston,MA,United States,112,http://www.linkedin.com/company/mabl,2016,AI,73,16520000,1,SaaS,GV,,,,$76.1M,76100000,https://www.growjo.com/company/mabl,https://www.indeed.com/jobs?q=company%3A(mabl),0.7
Formic Technologies,formic.co,,,,74,http://www.linkedin.com/company/formic-technologies,,AI,345,11060000,1,,,,,,,,https://www.growjo.com/company/Formic_Technologies,https://www.indeed.com/jobs?q=company%3A(Formic Technologies),1.47
Pryon,pryon.com,Raleigh,NC,United States,59,http://www.linkedin.com/company/pryon,2017,AI,11,7551600,6,saas,,,,,$36.5M,36500000,https://www.growjo.com/company/Pryon,https://www.indeed.com/jobs?q=company%3A(Pryon),0.44
