dt,bend_num_nft_liq,nftfi_num_nft_liq,pine_num_nft_liq,arcade_num_nft_liq,jpegd_num_nft_liq,drops_num_nft_liq,x2y2_num_nft_liq,total_liq,bend_cumu_nft_liq,nftfi_cumu_nft_liq,pine_cumu_nft_liq,arcade_cumu_nft_liq,jpegd_cumu_nft_liq,drops_cumu_nft_liq,x2y2_cumu_nft_liq
2023-01-24 00:00,0,69,0,0,0,0,0,69,171,7489,71,43,5,20,239
2023-01-23 00:00,0,0,0,0,0,0,9,9,171,7420,71,43,5,20,239
2023-01-23 00:00,0,59,0,0,0,0,0,59,171,7420,71,43,5,20,230
2023-01-22 00:00,0,0,0,1,0,0,0,1,171,7361,71,43,5,20,222
2023-01-22 00:00,0,0,0,0,0,0,8,8,171,7361,71,43,5,20,230
2023-01-22 00:00,0,72,0,0,0,0,0,72,171,7361,71,42,5,20,222
2023-01-21 00:00,0,0,0,0,0,0,8,8,171,7289,71,42,5,20,222
2023-01-21 00:00,0,69,0,0,0,0,0,69,171,7289,71,42,5,20,214
2023-01-20 00:00,1,73,0,0,0,0,9,83,171,7220,71,42,5,20,214
2023-01-19 00:00,0,0,0,0,0,0,11,11,170,7147,71,42,5,20,205
2023-01-19 00:00,0,145,0,0,0,0,0,145,170,7147,71,42,5,20,194
2023-01-19 00:00,0,0,0,1,0,0,0,1,170,7002,71,42,5,20,194
2023-01-18 00:00,3,90,0,0,0,0,12,105,170,7002,71,41,5,20,194
2023-01-17 00:00,0,73,0,0,0,0,0,73,167,6912,71,41,5,20,179
2023-01-17 00:00,0,0,0,0,0,0,3,3,167,6912,71,41,5,20,182
2023-01-16 00:00,0,83,0,0,0,0,0,83,167,6839,71,41,5,20,175
2023-01-16 00:00,0,0,0,0,0,0,4,4,167,6839,71,41,5,20,179
2023-01-16 00:00,0,0,0,1,0,0,0,1,167,6756,71,41,5,20,175
2023-01-15 00:00,0,67,0,0,0,0,0,67,167,6756,71,40,5,20,175
2023-01-15 00:00,0,0,0,0,0,0,7,7,167,6689,71,40,5,20,175
2023-01-14 00:00,0,0,0,0,0,0,3,3,167,6616,71,40,5,20,168
2023-01-14 00:00,0,73,0,0,0,0,0,73,167,6689,71,40,5,20,168
2023-01-14 00:00,0,0,0,2,0,0,0,2,167,6616,71,40,5,20,165
2023-01-13 00:00,0,0,0,0,0,0,6,6,167,6616,71,38,5,20,165
2023-01-13 00:00,0,78,0,0,0,0,0,78,167,6616,71,38,5,20,159
2023-01-12 00:00,0,181,0,0,0,0,0,181,167,6538,71,38,5,20,159
2023-01-12 00:00,0,0,0,0,0,0,3,3,167,6357,71,38,5,20,159
2023-01-11 00:00,0,0,0,1,0,0,0,1,167,6357,71,38,5,20,155
2023-01-11 00:00,0,0,0,0,0,0,1,1,167,6357,71,38,5,20,156
2023-01-11 00:00,0,225,0,0,0,0,0,225,167,6357,71,37,5,20,155
2023-01-10 00:00,0,138,0,0,0,0,0,138,167,6132,71,37,5,20,155
2023-01-09 00:00,0,139,0,0,0,0,0,139,167,5994,71,37,5,20,155
2023-01-08 00:00,0,78,0,0,0,0,0,78,167,5855,71,37,5,20,155
2023-01-07 00:00,0,112,0,0,0,0,0,112,167,5777,71,37,5,20,155
2023-01-07 00:00,0,0,0,1,0,0,0,1,167,5665,71,37,5,20,155
2023-01-06 00:00,0,0,0,0,0,0,1,1,167,5665,71,36,5,20,155
2023-01-06 00:00,0,89,0,0,0,0,0,89,167,5665,71,36,5,20,154
2023-01-05 00:00,0,0,0,0,0,0,2,2,167,5525,71,36,5,20,154
2023-01-05 00:00,0,51,0,0,0,0,0,51,167,5576,71,36,5,20,154
2023-01-04 00:00,0,65,0,0,0,0,0,65,167,5525,71,36,5,20,152
2023-01-04 00:00,0,0,0,0,0,0,8,8,167,5460,71,36,5,20,152
2023-01-03 00:00,0,68,0,0,0,0,0,68,167,5460,71,36,5,20,144
2023-01-03 00:00,0,0,0,0,0,0,1,1,167,5392,71,36,5,20,144
2023-01-02 00:00,0,0,0,0,0,0,6,6,167,5392,71,36,5,20,143
2023-01-02 00:00,0,60,0,0,0,0,0,60,167,5392,71,36,5,20,137
2023-01-01 00:00,0,0,0,0,0,0,2,2,167,5280,71,36,5,20,137
2023-01-01 00:00,0,52,0,0,0,0,0,52,167,5332,71,36,5,20,137
2022-12-31 00:00,3,37,0,0,0,0,3,43,167,5280,71,36,5,20,135
2022-12-30 00:00,0,68,0,0,0,0,0,68,164,5243,71,36,5,20,132
2022-12-30 00:00,0,0,0,0,0,0,2,2,164,5175,71,36,5,20,132
2022-12-29 00:00,0,63,0,0,0,0,0,63,164,5175,71,36,5,20,130
2022-12-29 00:00,0,0,0,0,0,0,1,1,164,5112,71,36,5,20,130
2022-12-28 00:00,0,0,0,0,0,1,0,1,164,5053,71,36,5,20,129
2022-12-28 00:00,0,59,0,0,0,0,0,59,164,5112,71,36,5,20,129
2022-12-27 00:00,1,45,0,0,0,0,4,50,164,5053,71,36,5,19,129
2022-12-26 00:00,0,34,0,0,0,0,0,34,163,5008,71,36,5,19,125
2022-12-26 00:00,0,0,0,1,0,0,0,1,163,4974,71,36,5,19,125
2022-12-26 00:00,0,0,0,0,0,0,4,4,163,4974,71,35,5,19,125
2022-12-25 00:00,0,39,0,0,0,0,0,39,163,4974,71,35,5,19,121
2022-12-24 00:00,0,0,0,0,0,0,2,2,163,4884,71,35,5,19,121
2022-12-24 00:00,0,51,0,0,0,0,0,51,163,4935,71,35,5,19,121
2022-12-23 00:00,0,85,0,0,0,0,0,85,163,4884,71,35,5,19,119
2022-12-22 00:00,0,78,0,0,0,0,0,78,163,4799,71,35,5,19,119
2022-12-22 00:00,0,0,0,0,0,0,1,1,163,4721,71,35,5,19,119
2022-12-21 00:00,0,0,0,0,0,0,2,2,163,4721,71,34,5,19,118
2022-12-21 00:00,0,0,0,1,0,0,0,1,163,4721,71,35,5,19,118
