,collection_name,address,mean,median,std,count,borrow_volume
56,MAX PAIN AND FRENS BY XCOPY,0xd1169e5349d1cb9941f3dcba135c8a4b9eacfdde,44.03849751494662,49.00003333333333,28.762160352373723,59,36693.241550000246
57,DigiDaigaku Genesis,0xd1258db6ac08eb0e625b75b371c023da478e94a9,33.80794832562575,33.00012558869683,14.63958625807865,87,548829.695023021
58,Autoglyphs,0xd4e4078ca3495de5b1d4db434bebc5a986197782,13.333439746926842,9.000000000000089,9.688351491032323,20,4243883.084601564
59,Nakamigos,0xd774557b647330c91bf44cfeab205095f7e6c367,65.15208190707666,78.99884259259261,48.45870170284918,98,46011.260581525275
60,Otherside Koda,0xe012baf811cf9c05c408e879c399960d1f305903,32.28740793635553,29.99995833333333,16.053281344707116,34,356943.0153000246
61,World Of Women,0xe785e82358879f061bc3dcac6f0444462d4b5330,48.6468282890184,48.99994642857151,26.940833915681115,104,191576.66254404729
62,Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,17.928549216645806,17.000000000000036,10.606860608885999,125,2345021.0009652493
63,World of Women Galaxy,0xf61f24c2d93bf2de187546b14425bf631f28d6dc,69.71209429208731,74.00037037037043,24.602931076976603,30,7580.590819159823
64,Cold Blooded Creepz,0xfe8c6d19365453d26af321d0e8c910428c23873f,65.79590995638858,58.999642857143,31.13531254698796,52,97520.45229357877
65,Bored Ape Kennel Club,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,49.76369684319519,38.49997878787868,31.90305336690753,81,669697.9721838759
66,Ethlizards,0x16de9d750f4ac24226154c40980ef83d4d3fd4ad,83.38016562946163,89.99857142857138,17.493805593893377,21,15490.407000000003
67,Terraforms,0x4e1f41613c9084fdb9e34e11fae9412427480e56,26.424980508773828,24.000000269841088,10.683865950525975,59,108922.53020569381
68,Sewer Pass,0x764aeebcf425d56800ef2c84f2578689415a2daa,72.71729047408006,65.00000039285717,41.20868805304516,20,43288.87145618271
69,Art Blocks,0x99a9b7c1116f9ceeb1652de04d5969cce509b069,35.479439920915944,30.00000000000001,20.201935974184085,32,51523.62776
