collection_name,mean,median,std,count,borrow_volume
OnChainMonkey,49.804639274370778,50.000133333333338,19.4663283452231,77,167232.15180000148
VeeFriends,32.778966782140756,30.00004523809524,16.489843751004514,40,155660.171654045
Art Blocks Curated,42.482674361943104,38.0000784313726,23.27813511242914,541,2897292.4203439932
Akutars,50.671648959204177,50.000437500000011,25.396809598198153,24,5998.5094867011667
Goblinverse Island,77.158816570456565,77.999688888888869,20.31528931127335,313,270114.07135206804
Wrapped Cryptopunks,9.102317848707612,8.99999763888889,4.34387476740727,347,22436109.810144432
rektguy,61.000731324286988,59.99951111111109,22.29022009054847,905,1216350.6936909412
Bored Ape Yacht Club,30.282454130428491,15.000003499999851,46.394150167178374,91,6409391.8877998972
PudgyPenguins,39.816775666696223,35.000000000000739,19.424832629722477,254,1634932.1953196959
HUXLEY Robots,51.205750903730276,51.999999966666671,29.04854126874449,34,18008.637500006305
Async Blueprints,43.208644054352405,35.00002380952381,18.376138181177616,43,453773.67860003107
Elemental by Fang Lijun,64.38442663566488,75.000681318681359,26.77024475727136,26,17265.116820003284
KILLABEARS,59.312708704184281,69.000449735449862,24.509931078726311,270,1198771.2830626685
FLUF,37.355243707973209,34.999999999999957,19.67973941049339,91,184230.54667651039
MAX PAIN AND FRENS BY XCOPY,44.03849751494662,49.000033333333327,28.762160352373723,59,36693.241550000246
DigiDaigaku Genesis,33.807948325625752,33.000125588696832,14.63958625807865,87,548829.695023021
Autoglyphs,13.333439746926842,9.0000000000000888,9.6883514910323232,20,4243883.0846015643
Nakamigos,65.152081907076663,78.998842592592609,48.458701702849183,98,46011.260581525275
Otherside Koda,32.287407936355528,29.999958333333328,16.053281344707116,34,356943.01530002459
World Of Women,49.141389495869227,49.000064935064906,26.873025292161582,108,201550.9460440473
Azuki,18.885146661537075,17.999975,12.329925479424643,130,2451811.0919652497
World of Women Galaxy,68.480655103800487,74.000370370370433,26.898175830342581,33,9334.6078191598262
Cold Blooded Creepz,65.039119315628284,58.999642857143,29.101431463681536,61,116339.88845792876
Bored Ape Kennel Club,50.683806951799049,40.000000000000348,30.788367025297049,89,755607.74695615622
Ethlizards,83.380165629461629,89.998571428571381,17.493805593893377,21,15490.407000000003
Terraforms,26.424980508773828,24.000000269841088,10.683865950525975,59,108922.53020569381
Sewer Pass,72.667213426966342,65.999828428088378,38.438863586378318,23,51655.955456182695
